NO,DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,DS10,DS11,DS12,FOMO1,FOMO2,FOMO3,FOMO4,FOMO5,FOMO6,FOMO7,FOMO8,FOMO9,FOMO10,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,Kelompok
41,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,1,1,1,Tidak
42,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,3,2,2,3,4,3,3,2,3,3,2,4,4,3,3,4,3,3,3,2,2,2,2,3,Tidak
43,3,4,3,4,3,4,3,2,3,3,2,4,2,4,4,2,3,4,3,2,3,3,4,3,3,3,4,4,3,4,4,3,3,4,4,4,4,5,3,4,3,2,4,2,3,3,Tidak
44,1,1,2,2,2,3,1,1,2,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,3,1,2,2,1,1,1,1,1,1,3,Tidak
45,4,3,3,4,3,4,2,2,4,3,4,2,2,2,2,2,1,3,2,2,2,1,3,4,2,2,3,3,2,2,2,2,4,3,4,4,2,4,3,3,2,2,3,3,3,3,Tidak
46,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,Tidak
47,3,2,2,3,3,4,3,2,2,2,3,3,2,2,4,2,2,3,2,2,2,1,2,3,3,2,4,3,3,2,2,2,2,3,4,3,3,4,3,3,3,3,3,2,3,2,Tidak
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,Tidak
49,2,2,2,3,3,3,2,2,3,3,3,3,3,4,3,3,2,3,3,2,3,2,4,3,4,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,Tidak
50,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Tidak
51,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Tidak
52,2,1,2,4,2,4,2,2,3,2,3,2,2,2,4,2,1,3,4,1,4,1,4,5,1,1,3,2,4,2,5,2,2,3,5,5,5,5,5,5,4,3,4,2,2,5,Tidak
53,4,3,3,4,1,2,2,3,3,3,4,4,3,4,3,3,3,4,3,3,4,2,2,2,3,3,2,4,5,3,5,4,3,4,1,3,3,5,4,3,3,5,3,2,3,4,Tidak
54,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,4,3,3,4,3,3,4,4,4,3,3,3,2,2,3,2,4,3,4,3,4,3,3,2,3,4,2,3,4,Tidak
55,3,2,2,2,3,2,2,2,2,2,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,4,4,4,2,2,2,2,2,2,2,2,3,Tidak
56,1,1,1,3,2,2,1,1,2,2,4,2,2,4,3,3,3,3,2,2,2,2,4,3,3,2,3,3,4,3,2,2,3,3,3,3,3,3,3,4,3,2,3,3,3,3,Tidak
57,2,2,2,3,1,1,1,1,1,1,5,1,1,1,2,1,1,1,1,1,1,1,4,2,2,2,3,2,4,2,2,1,1,3,2,3,3,2,2,3,2,2,2,4,1,1,Tidak
58,1,1,1,1,1,2,1,2,1,1,3,2,4,4,3,2,1,2,1,1,1,1,4,4,4,3,4,3,4,2,2,3,1,2,2,2,3,4,3,4,3,2,2,2,2,2,Tidak
59,2,2,3,3,1,3,2,1,2,2,3,1,1,3,2,1,3,2,3,1,3,2,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,4,1,4,1,3,3,4,5,Tidak
60,4,3,3,4,3,3,2,3,2,2,3,3,1,2,3,2,2,2,3,2,3,1,3,2,3,3,4,3,4,3,4,3,3,4,4,4,3,4,4,4,4,3,3,3,4,4,Tidak
61,4,3,3,3,3,2,1,1,1,3,3,2,3,4,3,3,3,4,2,2,3,2,2,3,2,2,3,3,3,2,3,2,2,3,3,4,4,4,4,4,3,2,4,4,3,4,Tidak
62,3,3,2,3,2,4,2,3,3,1,3,2,2,2,3,3,2,2,2,2,2,2,3,2,3,3,3,4,3,3,2,2,2,2,4,3,3,4,4,2,3,2,3,3,2,2,Tidak
63,2,3,1,5,1,5,1,1,1,1,4,1,2,4,5,3,3,1,1,1,1,1,2,5,1,1,4,3,1,1,4,1,1,1,1,3,1,3,3,3,1,1,3,1,1,1,Tidak
64,4,4,2,3,2,2,2,2,2,3,4,3,2,3,3,2,2,2,2,2,2,2,3,3,3,4,4,3,2,2,2,2,2,3,3,3,2,4,4,2,2,2,3,2,2,2,Tidak
65,1,2,3,3,3,4,1,2,3,4,5,3,3,4,4,2,3,2,3,2,2,2,5,4,3,4,5,4,4,2,2,2,2,3,4,4,4,5,4,3,3,2,5,2,3,4,Tidak
66,4,3,4,4,4,3,4,2,2,2,3,3,3,4,3,3,2,3,3,3,2,2,5,4,4,4,5,2,3,4,2,2,2,2,5,4,4,5,5,4,4,5,4,3,3,5,Tidak
67,3,2,2,3,2,4,2,3,4,2,4,4,1,1,2,1,1,4,1,1,3,2,4,4,3,3,5,5,4,3,3,2,3,3,4,4,4,4,3,3,3,3,2,1,1,2,Tidak
68,4,4,3,3,3,4,2,2,2,2,4,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,2,3,Tidak
69,1,1,1,1,1,1,1,1,2,1,3,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,4,5,2,1,1,1,1,1,1,Tidak
