NO,DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,DS10,DS11,DS12,FOMO1,FOMO2,FOMO3,FOMO4,FOMO5,FOMO6,FOMO7,FOMO8,FOMO9,FOMO10,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,Kelompok
140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,Ya
141,2,2,4,2,2,3,2,2,3,3,4,3,2,4,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,4,2,3,3,3,2,3,3,3,4,3,4,4,2,1,Tidak
142,2,3,2,3,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,2,3,2,4,4,4,4,4,4,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,Tidak
143,1,2,2,2,2,4,2,1,3,3,4,2,1,1,4,3,3,3,4,3,3,1,4,2,3,3,3,3,3,3,3,3,3,3,5,4,3,5,4,3,2,2,2,2,2,2,Ya
144,2,2,1,2,1,3,1,2,1,2,4,2,1,1,4,3,2,3,2,2,2,2,4,3,5,3,4,3,3,3,4,3,2,3,5,4,4,5,4,3,4,3,4,2,4,3,Tidak
145,2,2,2,2,2,2,3,1,2,2,2,2,2,3,2,3,1,1,2,2,2,2,4,3,3,4,4,4,4,3,4,4,3,5,2,4,2,4,2,4,4,2,2,1,3,2,Tidak
146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,5,5,5,5,1,4,4,2,3,2,1,2,5,1,1,4,3,1,5,5,3,1,1,1,Ya
147,5,2,2,2,2,4,2,3,2,4,4,2,2,2,2,2,2,3,2,2,2,2,4,4,3,2,3,2,2,4,2,3,3,4,4,2,2,4,4,2,4,3,4,4,2,2,Tidak
148,5,5,4,4,3,3,2,2,1,1,5,5,4,4,3,3,2,2,1,1,5,5,5,5,4,4,3,3,2,2,1,1,5,5,4,4,3,3,2,2,1,1,5,5,4,4,Tidak
149,2,1,3,3,2,4,2,2,2,2,3,2,2,4,3,4,4,2,1,2,2,2,3,1,3,2,3,2,1,1,2,1,4,4,3,5,4,4,5,4,2,1,4,3,3,4,Tidak
150,3,3,4,4,2,1,4,5,5,3,1,2,1,5,1,5,4,2,3,5,2,1,1,2,3,4,5,3,1,2,2,5,5,3,2,1,3,5,3,4,4,2,3,5,1,1,Ya
151,3,4,3,5,2,5,2,4,2,3,4,1,1,1,3,1,2,2,2,1,4,2,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Tidak
152,4,5,5,3,3,5,1,3,5,4,5,4,3,3,4,3,3,4,3,4,4,3,5,5,5,5,5,5,5,5,5,5,3,5,4,4,4,4,4,4,5,5,5,5,5,5,Ya
153,1,2,3,2,1,4,2,1,3,2,3,1,1,2,2,1,1,1,2,1,1,1,3,3,3,4,5,5,4,3,2,2,1,4,3,3,3,4,2,2,4,2,2,2,4,2,Tidak
154,5,5,5,5,5,5,1,3,3,5,5,5,1,1,2,2,3,1,1,1,1,1,5,3,4,3,5,5,5,2,2,2,2,4,4,3,3,4,2,2,4,2,4,3,4,3,Tidak
155,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,Tidak
156,3,4,2,3,2,3,2,1,3,3,4,3,3,4,3,2,2,3,2,1,3,1,5,4,3,3,3,3,4,4,3,3,3,3,3,3,2,4,3,3,4,4,3,3,3,4,Tidak
157,2,4,2,2,2,4,2,3,4,3,5,2,3,4,5,3,3,2,2,2,3,2,5,4,5,4,4,5,4,2,3,3,2,5,3,3,4,4,3,3,5,2,3,3,4,2,Tidak
158,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Tidak
159,2,4,2,4,2,5,2,4,4,2,4,2,4,4,4,4,4,5,4,4,4,4,2,2,4,2,4,4,4,2,5,2,4,4,4,4,4,5,4,4,4,4,4,4,4,4,Tidak
160,1,4,1,2,1,4,1,1,4,1,4,1,1,1,4,2,5,3,1,1,1,1,4,2,1,1,5,4,4,2,3,1,1,5,4,5,3,5,4,2,2,2,5,4,5,5,Tidak
161,1,3,1,1,1,1,1,1,5,1,5,1,5,5,3,3,5,3,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Tidak
162,4,5,3,5,3,5,5,5,4,4,5,5,3,4,3,5,2,5,4,5,5,5,3,2,2,2,2,4,3,3,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,4,Ya
163,2,2,2,2,2,3,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,2,2,2,4,2,2,2,4,2,4,2,2,2,2,4,4,Tidak
164,3,4,4,3,3,4,3,3,4,4,4,3,3,4,2,2,2,3,3,2,3,2,4,3,4,4,4,4,4,3,4,3,3,4,3,3,4,3,3,4,4,2,3,2,2,2,Tidak
165,2,2,1,3,2,2,1,2,1,2,4,3,2,2,3,2,2,2,2,2,2,1,3,3,2,3,2,3,3,3,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,Tidak
166,4,4,5,2,2,5,3,1,5,5,5,2,1,5,5,1,2,2,1,4,1,2,5,5,5,5,5,5,5,5,5,5,2,5,3,3,2,5,5,1,5,2,2,1,1,4,Ya
167,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,4,2,4,4,4,5,5,5,2,4,2,4,2,4,4,4,4,4,4,3,2,4,2,4,Tidak
168,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Tidak
169,3,2,2,4,2,4,2,1,1,2,4,3,4,4,4,5,4,3,1,4,2,3,2,4,3,4,2,2,2,5,2,4,4,5,4,4,3,4,1,3,2,5,4,4,2,5,Tidak
170,1,2,2,3,1,2,1,2,2,3,4,2,2,2,2,1,1,1,1,2,1,2,3,3,3,5,4,4,3,2,2,2,2,2,2,2,2,3,2,3,2,2,4,2,4,4,Ya
171,2,2,4,1,1,4,1,1,1,2,4,1,2,2,2,1,2,2,1,2,1,1,4,2,4,4,4,4,4,1,1,2,1,4,4,4,4,4,5,5,3,2,1,1,1,1,Ya
172,1,3,1,1,1,3,1,1,3,1,4,1,2,2,1,1,1,1,1,1,1,1,4,4,3,4,5,1,1,3,1,1,1,1,4,4,3,3,3,1,4,1,1,1,1,3,Tidak
173,1,1,1,1,1,4,1,1,1,1,4,1,2,2,5,4,2,4,2,3,3,2,4,4,4,4,4,3,3,3,2,4,4,4,4,2,2,4,2,2,4,4,3,4,2,4,Tidak
174,2,2,1,2,1,4,1,3,1,1,2,1,1,3,5,2,1,4,2,2,3,1,5,1,2,1,5,3,2,1,1,1,1,1,4,1,3,2,5,4,2,1,2,2,1,5,Tidak
175,1,2,1,1,1,2,1,2,5,1,5,1,5,5,5,4,4,5,2,4,5,4,4,4,4,4,5,4,5,2,2,2,2,2,3,2,2,2,2,2,2,4,2,2,2,2,Tidak
176,2,1,1,3,2,4,1,2,2,2,3,2,3,4,5,5,5,5,4,2,4,4,1,1,1,1,1,3,2,5,3,2,1,4,5,4,4,5,3,5,3,1,4,3,2,4,Ya
177,4,4,5,4,4,5,4,2,2,4,5,4,1,2,2,1,2,4,2,2,1,1,2,4,4,2,4,2,2,1,2,2,2,4,5,4,4,4,5,4,2,4,3,3,2,2,Tidak
178,1,1,1,1,1,4,1,4,4,1,4,4,4,4,4,4,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,4,1,4,4,4,4,1,1,Tidak
179,2,2,2,4,2,3,1,1,2,2,3,2,2,2,4,2,2,2,2,2,2,2,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,3,3,3,4,3,3,2,3,3,Ya
180,3,4,2,2,3,2,2,1,1,1,3,2,1,1,3,1,1,1,1,1,1,1,4,1,1,1,2,4,1,1,1,1,1,1,1,5,1,4,2,4,1,4,4,1,1,1,Tidak
181,4,4,3,5,4,4,1,2,3,1,3,1,2,4,4,3,3,1,2,2,2,2,4,4,3,3,4,3,4,2,4,3,4,4,5,3,3,4,4,3,4,4,4,4,4,4,Tidak
182,1,2,1,1,1,4,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Tidak
183,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,3,1,4,4,4,4,4,4,4,1,2,3,2,1,3,1,1,4,4,4,1,1,1,Tidak
184,5,4,5,5,1,5,1,3,2,5,5,2,1,1,3,1,1,2,1,1,3,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,3,5,Ya
185,2,2,2,1,1,2,3,2,2,2,2,2,1,2,4,2,3,3,3,3,3,3,4,4,4,3,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,Tidak
186,2,2,2,3,1,3,1,1,3,1,1,1,2,2,3,3,1,2,1,1,2,1,3,4,2,2,5,4,3,2,3,2,3,3,2,3,3,4,3,2,4,3,4,3,4,2,Tidak
187,2,3,2,2,3,3,3,1,2,2,3,3,3,3,2,2,2,2,1,2,2,2,4,3,3,4,3,3,3,3,2,3,3,3,2,2,2,3,2,2,3,2,2,2,3,2,Ya
188,4,4,5,5,3,3,3,1,2,4,4,3,4,5,3,4,2,3,2,2,3,1,5,4,4,3,4,4,3,3,2,2,2,4,4,4,4,5,5,4,5,3,5,4,3,5,Tidak
189,2,2,2,4,1,3,1,2,5,2,3,1,1,1,3,1,1,1,1,1,1,1,4,2,2,2,3,3,1,3,3,3,3,3,3,5,3,5,5,4,3,3,3,3,3,3,Tidak
190,3,3,3,2,1,2,1,3,2,3,3,2,3,4,4,2,3,2,2,2,2,1,4,2,2,2,5,4,4,2,2,2,1,4,5,4,3,5,4,4,3,2,2,2,2,3,Ya
191,3,2,3,3,3,5,3,2,4,4,5,1,3,3,4,4,4,3,1,3,3,3,2,2,2,2,4,3,3,2,2,3,3,5,4,5,3,5,5,3,3,3,4,2,4,4,Ya
192,1,1,1,1,1,3,1,1,4,2,2,1,2,3,4,2,3,2,2,2,2,2,4,3,4,4,2,3,4,3,2,3,4,2,3,4,3,4,4,4,3,2,2,2,2,2,Tidak
193,2,2,2,3,2,4,2,4,4,4,4,4,4,5,4,4,5,4,3,4,4,4,3,2,2,2,4,2,2,2,1,2,3,2,3,5,4,4,3,2,2,1,5,3,2,4,Tidak
194,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Tidak
195,4,3,3,2,3,3,3,4,4,4,5,4,3,4,4,2,2,2,3,2,3,2,4,4,4,3,5,4,4,3,4,3,5,3,4,4,4,4,5,4,4,3,4,4,4,4,Ya
196,1,3,1,4,1,4,1,3,1,1,3,1,1,1,3,1,1,3,1,1,1,1,4,4,3,2,4,4,2,2,2,4,4,2,4,4,4,4,4,2,2,2,2,2,2,2,Ya
197,3,2,2,2,2,4,2,3,4,2,4,2,2,4,2,2,3,3,4,2,2,2,5,3,4,2,5,5,4,3,3,2,2,4,4,4,4,4,2,2,3,2,4,3,3,4,Tidak
198,5,4,3,4,2,5,4,2,5,5,5,5,4,4,2,2,3,4,4,2,5,2,5,4,5,5,5,5,5,3,5,4,4,5,5,4,5,4,4,4,5,3,5,4,5,4,Ya
199,3,2,1,1,1,4,1,3,1,3,4,2,1,1,3,1,2,1,1,2,1,1,1,4,4,4,4,1,4,5,3,1,5,3,5,5,4,5,2,5,3,4,3,1,1,4,Ya
200,2,3,2,1,2,4,2,2,4,2,5,3,2,4,4,2,3,3,2,4,2,2,5,4,4,4,5,5,5,4,3,2,2,4,4,3,4,4,2,2,4,4,4,3,3,3,Ya
201,4,3,3,4,2,3,3,2,4,3,2,3,2,2,4,2,4,4,2,2,1,1,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,3,4,4,3,4,4,4,Tidak
202,3,3,1,1,1,4,1,1,1,1,1,1,2,2,5,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,5,5,4,5,5,3,3,3,3,3,3,3,Tidak
203,3,2,2,4,2,2,2,1,2,2,4,2,2,3,2,2,2,2,3,1,2,2,2,2,2,2,4,3,3,2,2,2,2,2,5,4,2,5,5,2,2,3,4,2,2,3,Tidak
204,2,2,3,4,2,4,3,2,2,2,3,2,3,2,4,2,2,4,3,2,3,2,2,2,3,2,4,2,2,2,4,2,2,4,4,4,4,5,4,3,2,2,3,2,4,3,Tidak
205,2,2,1,2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,4,3,4,3,2,3,1,2,2,3,4,4,4,4,2,4,4,Tidak
206,3,2,3,4,3,3,2,2,2,2,4,2,3,3,4,4,2,2,2,3,2,2,5,4,3,3,2,3,4,3,2,2,2,4,3,2,2,3,2,2,4,5,4,3,3,3,Tidak
207,1,2,2,4,2,2,1,1,3,2,4,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,Ya
208,2,1,1,1,1,1,1,1,1,1,5,2,1,1,5,3,1,2,1,1,1,1,3,1,4,2,2,5,2,4,1,3,1,4,1,3,2,1,4,5,2,1,1,1,1,1,Tidak
209,3,3,2,3,2,4,2,3,4,2,4,3,3,3,3,2,2,2,3,2,2,2,4,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,3,4,4,4,3,Tidak
210,3,4,4,3,3,4,3,4,5,3,5,4,4,4,3,3,4,4,4,3,4,4,5,4,5,4,4,4,4,3,3,3,4,5,4,3,4,4,3,2,3,4,4,4,4,2,Tidak
211,3,4,4,5,3,3,3,1,5,1,5,3,4,3,3,1,3,1,2,2,2,2,2,4,5,4,3,4,5,3,2,3,3,2,2,2,2,2,1,2,4,3,4,2,2,3,Ya
212,4,4,2,1,3,3,2,2,2,2,4,2,4,4,4,4,4,2,2,2,2,2,5,2,4,5,4,2,2,4,4,5,4,4,4,4,2,4,4,4,4,4,4,4,4,4,Tidak
213,4,4,5,5,4,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,5,5,5,5,5,Ya
214,2,2,4,2,2,3,1,1,4,5,5,2,1,1,2,1,1,3,2,1,2,1,4,4,2,2,4,4,4,5,4,2,4,4,4,3,2,4,4,2,4,5,2,2,1,2,Tidak
215,2,3,2,1,4,3,1,1,1,2,4,2,2,1,5,5,5,3,3,4,1,1,4,2,4,4,2,4,4,2,2,2,2,4,4,3,4,4,4,3,4,3,4,5,4,2,Ya
216,4,4,4,2,2,3,2,2,4,3,4,4,2,4,4,3,2,2,3,3,2,2,4,3,4,2,4,4,4,2,4,3,3,4,4,4,3,4,4,2,3,2,4,2,4,3,Tidak
217,3,3,2,2,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,5,4,3,1,1,1,1,5,3,4,4,4,4,4,5,3,5,5,3,5,Tidak
218,1,1,2,1,1,1,1,1,3,2,5,2,2,4,4,1,2,2,3,2,1,2,5,4,1,3,5,4,4,4,1,4,4,4,4,2,1,4,5,3,4,4,4,3,4,4,Tidak
219,2,2,2,2,2,4,1,2,2,2,2,2,3,2,3,3,2,4,2,2,3,1,4,3,2,2,3,3,2,2,2,2,2,3,4,4,3,4,4,3,2,2,2,1,2,2,Tidak
220,1,1,1,3,1,3,1,3,5,1,3,1,5,5,3,2,1,3,3,2,2,2,4,3,3,3,5,4,3,2,3,4,2,5,3,5,3,5,5,3,2,3,3,3,5,1,Tidak
221,3,5,2,5,1,1,1,1,4,3,4,1,1,5,2,1,1,5,1,1,1,1,4,4,1,2,5,1,5,5,1,1,1,1,5,3,2,5,5,5,2,1,1,1,3,2,Tidak
222,2,3,2,3,2,4,2,1,2,3,4,1,4,5,2,2,3,4,1,2,1,1,3,2,2,2,4,5,3,2,3,2,2,4,4,4,3,4,3,2,3,2,4,3,4,4,Tidak
223,1,2,1,1,3,2,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,1,2,2,2,3,1,1,1,2,1,3,1,1,1,1,1,3,4,1,1,1,4,4,1,1,Ya
224,2,3,4,2,2,2,2,1,1,2,3,1,2,4,2,2,2,2,2,2,4,4,4,4,2,2,4,2,2,2,2,2,1,4,5,1,1,5,5,1,1,1,1,1,1,1,Tidak
225,4,3,2,3,2,4,1,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,Ya
226,2,4,2,1,2,5,2,3,5,2,5,4,1,1,1,1,1,1,2,1,1,1,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,1,5,5,5,5,2,5,5,Ya
227,3,4,2,4,2,4,3,2,2,4,4,3,3,3,4,2,2,4,2,2,3,2,4,3,4,2,4,2,2,2,2,2,2,2,4,4,4,4,4,3,2,2,3,3,2,3,Tidak
228,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,4,2,2,2,2,2,4,2,2,2,2,3,2,2,1,2,4,2,2,2,2,2,2,Tidak
229,2,5,1,1,1,5,1,3,5,3,5,5,2,2,5,5,5,3,5,5,2,3,5,1,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,Tidak
230,2,3,2,1,1,3,1,2,5,1,2,1,1,2,1,1,1,1,2,1,1,1,4,3,4,3,3,2,1,2,3,3,3,1,3,2,2,2,2,3,1,3,2,5,3,3,Tidak
231,1,2,1,1,1,4,1,1,4,3,3,2,1,2,3,3,3,4,3,3,4,2,2,2,2,2,4,3,2,2,2,3,3,3,4,5,3,4,5,5,3,2,3,3,2,2,Tidak
232,1,2,1,1,1,1,1,2,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,4,1,1,1,Ya
233,2,2,2,4,3,4,3,2,1,3,4,2,4,2,2,1,3,3,1,2,2,2,5,4,3,4,5,5,3,5,3,2,4,4,5,4,4,4,4,3,3,5,5,4,3,2,Ya
234,2,1,1,2,1,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,4,2,3,2,1,1,1,1,1,1,1,1,3,1,2,3,3,2,1,1,3,2,4,Tidak
235,1,2,1,1,1,3,1,1,1,1,1,1,1,4,4,3,2,3,1,3,2,1,5,5,5,5,4,3,4,3,4,4,5,5,4,4,3,4,1,3,4,4,4,1,3,3,Tidak
236,5,3,5,5,2,3,2,3,5,4,5,4,1,1,2,2,1,3,1,1,2,1,5,4,4,2,5,5,5,3,5,5,5,5,3,4,2,4,5,1,4,5,5,3,3,5,Tidak
237,2,2,3,4,1,1,1,1,5,3,5,1,3,5,4,1,1,1,2,2,2,2,5,5,4,4,4,4,2,4,2,2,2,4,3,4,3,4,5,4,2,2,2,2,2,2,Tidak
238,2,3,1,4,2,5,2,3,2,2,5,4,4,4,4,2,2,3,1,1,2,1,5,3,2,1,5,5,3,1,1,1,1,4,5,4,4,4,4,2,3,2,5,4,1,2,Tidak
239,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,4,5,5,5,3,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,Tidak
240,4,4,2,3,2,4,2,3,3,4,3,4,3,4,3,3,3,4,3,3,4,3,3,2,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,Tidak
241,1,1,1,3,1,3,1,1,3,1,4,1,4,4,2,1,1,1,1,1,1,1,4,5,4,4,3,3,4,5,3,3,3,3,4,4,3,3,3,3,4,5,4,4,2,2,Tidak
242,3,2,2,3,1,4,1,3,5,2,3,1,4,5,5,5,5,5,5,5,5,5,2,1,1,1,3,3,3,3,3,3,2,2,3,5,5,5,5,5,3,5,4,4,4,4,Tidak
243,3,3,4,1,1,4,1,1,5,4,4,3,5,5,3,3,5,4,3,3,3,4,4,3,3,3,5,3,4,4,3,4,3,5,4,4,4,4,5,3,4,4,5,5,5,5,Tidak
244,2,2,1,2,1,4,1,1,3,2,4,1,1,1,4,2,3,2,1,1,1,1,2,1,2,2,4,3,3,3,1,1,1,2,4,3,1,4,3,1,1,1,1,5,1,1,Tidak
245,2,2,1,2,1,4,1,2,3,2,3,3,1,1,3,2,1,2,1,1,1,1,2,2,3,2,3,2,2,2,1,2,2,1,3,2,3,4,4,3,2,2,3,2,2,1,Ya
246,1,1,1,1,1,4,1,1,5,1,5,1,1,1,4,1,4,1,1,1,1,1,4,3,3,1,4,1,1,1,4,4,4,1,3,4,4,4,3,1,3,3,4,3,4,4,Tidak
247,2,2,2,2,2,3,2,2,2,2,4,2,3,2,4,2,2,2,2,2,3,2,2,2,2,2,4,2,2,4,2,2,2,2,3,4,2,4,3,2,2,2,2,2,2,2,Tidak
248,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ya
249,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,2,3,4,3,3,3,4,1,3,2,3,3,3,3,3,3,3,3,4,4,4,4,Tidak
250,3,3,2,3,3,4,2,3,3,2,3,1,3,3,1,2,2,2,1,1,2,2,3,3,4,3,2,3,3,3,2,2,3,2,4,2,2,4,2,2,3,4,4,3,2,3,Tidak
251,2,2,2,2,1,4,2,1,4,2,3,2,1,1,4,2,1,3,1,2,2,1,5,4,4,3,3,4,3,2,1,2,2,4,4,4,3,5,4,3,2,1,1,2,1,2,Tidak
252,3,1,3,3,2,2,2,1,2,2,3,3,3,3,3,2,3,3,2,2,2,2,3,3,3,2,2,2,3,3,2,2,2,3,3,4,2,2,4,3,3,3,3,2,3,2,Tidak
253,4,4,4,4,4,4,3,5,3,4,5,4,3,4,4,4,3,4,3,4,4,3,3,3,4,4,4,3,4,4,4,3,4,4,3,4,3,3,3,3,3,3,4,4,4,3,Tidak
254,2,2,1,3,1,1,1,4,5,3,4,1,1,5,3,5,2,4,3,2,3,2,5,4,3,5,2,5,5,3,5,2,4,1,1,1,1,4,2,3,5,4,3,2,5,5,Ya
255,2,2,2,4,2,4,2,1,1,2,4,2,2,4,4,2,2,4,2,2,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,4,2,4,4,2,2,2,2,4,2,2,Ya
256,2,2,2,2,2,3,2,2,2,2,3,2,3,3,2,4,4,2,1,1,1,3,4,5,4,4,3,4,4,3,2,3,2,3,4,4,3,4,3,2,2,3,2,5,5,4,Tidak
257,3,3,3,1,2,2,2,1,2,2,2,1,1,1,1,1,1,4,3,1,2,1,2,1,1,1,4,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Tidak
258,4,4,2,4,2,4,2,4,4,3,3,4,4,3,4,4,4,4,3,5,4,3,3,4,4,4,4,4,3,4,3,4,2,4,4,5,3,4,5,4,5,4,4,4,4,5,Ya
259,1,1,1,1,1,2,1,2,1,1,3,1,2,3,3,1,1,2,1,1,1,1,4,4,5,3,3,4,5,5,3,3,1,3,3,3,4,4,4,3,4,5,4,3,3,4,Tidak
260,1,1,1,1,1,4,1,1,4,2,1,1,2,2,4,1,1,2,2,1,3,1,4,5,5,4,3,4,5,3,2,2,1,4,5,5,3,4,1,1,4,5,2,1,1,1,Ya
261,2,2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,2,3,3,Ya
262,2,2,1,2,2,3,2,3,3,2,3,2,3,3,3,3,3,3,2,2,4,2,3,3,3,3,3,3,3,2,3,2,3,3,3,4,4,4,3,3,3,3,3,4,3,3,Tidak
263,4,4,3,5,3,4,2,3,4,3,5,4,5,5,3,3,4,4,2,3,2,3,4,4,5,4,3,3,4,3,4,3,3,4,4,4,4,5,4,3,4,4,4,4,4,3,Ya
264,4,5,4,4,4,4,3,5,4,4,5,3,4,3,5,4,4,3,5,4,4,4,5,4,5,3,4,4,3,4,5,4,4,3,5,5,4,5,4,4,3,5,4,4,5,4,Ya
265,5,4,5,5,3,4,5,4,4,5,4,3,3,4,4,5,4,5,5,3,4,4,4,4,5,3,4,4,5,3,4,4,5,4,5,4,3,4,5,4,4,3,4,5,4,4,Ya
266,1,1,1,1,1,3,1,1,1,1,5,1,1,1,4,1,5,1,1,2,1,1,3,3,2,2,5,3,3,3,2,3,1,3,4,4,3,4,3,3,3,2,5,3,1,2,Tidak
267,3,3,2,3,1,2,2,3,2,1,3,2,2,2,3,2,2,1,3,2,2,3,2,1,1,3,2,2,3,1,2,3,1,2,3,2,2,3,1,2,3,2,1,2,3,2,Ya
268,4,4,5,3,4,4,5,4,5,4,3,4,4,3,4,5,3,4,4,5,4,5,3,4,5,3,4,4,5,4,5,4,5,4,4,5,4,5,4,3,4,5,4,4,5,4,Ya
269,4,4,5,4,5,4,3,4,5,4,4,5,4,3,5,4,5,5,3,4,4,5,3,4,4,5,4,5,5,3,4,5,4,4,3,4,5,4,4,5,3,4,5,4,5,4,Ya
270,5,3,4,5,4,2,4,3,4,5,4,3,4,5,4,4,5,4,5,4,3,4,4,5,4,3,4,5,4,3,4,5,4,5,4,3,4,5,4,4,5,4,3,4,5,4,Tidak
271,3,2,2,3,1,2,3,2,2,1,3,2,2,2,1,2,3,2,2,1,2,3,2,3,1,2,2,1,2,3,1,2,2,3,2,1,2,1,3,2,2,1,3,2,1,3,Ya
272,5,4,4,5,3,4,5,4,4,3,4,5,4,4,3,5,4,5,4,3,5,4,4,5,5,4,3,4,5,4,3,5,4,4,3,5,4,4,5,4,3,4,5,4,3,5,Ya
273,4,4,3,5,4,3,4,5,3,4,3,4,5,3,4,5,4,3,4,5,3,4,4,3,5,4,3,5,4,3,4,5,4,4,3,4,5,4,3,4,4,5,3,4,5,3,Ya
274,2,3,3,1,2,3,3,2,1,2,3,2,2,2,1,3,2,2,3,1,2,1,2,1,2,2,3,2,1,2,3,1,2,2,1,3,2,2,1,3,2,2,1,2,3,2,Ya
275,5,4,4,3,4,5,4,3,4,5,4,4,3,4,5,4,3,5,4,5,4,3,4,4,5,4,5,4,3,5,4,3,5,4,4,5,5,3,4,4,4,5,4,4,5,4,Ya
276,4,5,4,3,4,5,4,2,4,3,4,5,4,5,4,3,4,5,4,5,4,5,4,3,4,5,4,3,4,5,4,5,4,3,4,5,4,4,3,4,5,4,5,4,3,4,Tidak
277,4,5,4,3,4,2,4,3,4,5,4,5,4,5,4,3,4,2,4,3,5,4,5,4,5,4,3,4,5,4,2,4,3,4,5,4,4,3,4,5,4,5,4,3,5,4,Tidak
278,5,4,3,4,5,4,5,4,3,4,5,4,4,5,4,3,4,5,5,4,3,4,5,4,5,4,3,4,5,5,4,3,4,5,4,3,4,2,4,3,4,5,4,3,5,4,Tidak
