NO,Kelompok,mu_Rendah,mu_Sedang,mu_Tinggi,z_star
1,Umum,0.25,0.125,0,30
2,Umum,0,0.5,0,50
3,Umum,0,0.25,0,50
4,Umum,0,0.583333333333335,0,50
5,Umum,0,0.0625,0.375,75.7142857142857
6,Umum,0,0.5,0,50
7,Umum,0,0.25,0,50
8,Umum,1,0,0,20
9,Umum,0,0.375,0,50
10,Umum,1,0,0,20
11,Umum,0,0.6875,0,50
12,Umum,0,0.270833333333335,0,50
13,Umum,1,0,0,20
14,Umum,0.25,0.125,0,30
15,Umum,0,0.270833333333335,0,50
16,Umum,0,0.375,0,50
17,Umum,0,0.791666666666665,0,50
18,Umum,0,0.375,0,50
19,Umum,0,0.75,0,50
20,Umum,0,0.166666666666665,0.16666666666667,65.0000000000002
21,Umum,0,0.16666666666667,0,50
22,Umum,0,0.6875,0,50
23,Umum,0,0.625,0,50
24,Umum,0.58333333333333,0,0,20
25,Umum,1,0,0,20
26,Umum,0,0.479166666666665,0,50
27,Umum,0,0.25,0,50
28,Umum,1,0,0,20
29,Umum,0,0.875,0,50
30,Gamer,0,0.0625,0.375,75.7142857142857
31,Umum,0,0.6875,0,50
32,Gamer,0,0.375,0,50
33,Umum,0,0.75,0,50
34,Umum,1,0,0,20
35,Umum,0,0.5,0,50
36,Umum,0,0,0,20
37,Umum,0.16666666666667,0.166666666666665,0,34.9999999999998
38,Umum,1,0,0,20
39,Umum,0,0,0,20
40,Umum,0,0.25,0,50
41,Umum,0,0,0,20
42,Umum,1,0,0,20
43,Umum,0,0.791666666666665,0,50
44,Umum,1,0,0,20
45,Umum,0,0.791666666666665,0,50
46,Umum,0,0,0,20
47,Umum,0,0.5,0,50
48,Umum,0,0,0,20
49,Umum,0,0.479166666666665,0,50
50,Umum,0.58333333333333,0,0,20
51,Umum,0,1,0,50
52,Umum,0,0.25,0,50
53,Umum,0,0.75,0,50
54,Umum,0,0.58333333333333,0,50
55,Umum,0,0.270833333333335,0,50
56,Umum,0,0.5,0,50
57,Umum,1,0,0,20
58,Umum,1,0,0,20
59,Umum,0.75,0,0,20
60,Umum,0,0.75,0,50
61,Umum,0,0.270833333333335,0,50
62,Umum,0,0.479166666666665,0,50
63,Umum,0.5,0,0,20
64,Umum,0,0.5,0,50
65,Umum,0,0.625,0,50
66,Umum,0,0.75,0,50
67,Umum,0,0.895833333333335,0,50
68,Umum,0,0.625,0,50
69,Umum,1,0,0,20
70,Umum,0,0.5,0,50
71,Umum,1,0,0,20
72,Umum,0.5,0,0,20
73,Umum,0,0.75,0,50
74,Umum,0.79166666666667,0,0,20
75,Umum,0,0,0.5,80
76,Umum,0.375,0.0625,0,24.2857142857143
77,Umum,0,0,0,20
78,Umum,0,0.375,0,50
79,Umum,1,0,0,20
80,Umum,0,0,0.5,80
81,Umum,0,0.16666666666667,0,50
82,Umum,1,0,0,20
83,Umum,0.5,0,0,20
84,Umum,0,0.375,0,50
85,Umum,0,0.375,0,50
86,Umum,0,0,0.791666666666665,80
87,Umum,0,0.79166666666667,0,50
88,Umum,0.375,0.0625,0,24.2857142857143
89,Umum,0,0.583333333333335,0,50
90,Umum,0,0.270833333333335,0,50
91,Umum,0,0,0,20
92,Umum,0,0.375,0,50
93,Umum,0,0.6875,0,50
94,Umum,0,0.25,0,50
95,Umum,0,0.625,0,50
96,Gamer,0.375,0.0625,0,24.2857142857143
97,Gamer,0,0.25,0,50
98,Umum,0,0.25,0,50
99,Umum,0,0.375,0,50
100,Umum,1,0,0,20
101,Umum,0,0.25,0,50
102,Umum,0,0,0,20
103,Umum,0.16666666666667,0.166666666666665,0,34.9999999999998
104,Umum,1,0,0,20
105,Umum,0.79166666666667,0,0,20
106,Umum,0,0.25,0,50
107,Umum,1,0,0,20
108,Umum,0.58333333333333,0,0,20
109,Umum,0,0.5,0,50
110,Gamer,0,0.270833333333335,0,50
111,Umum,1,0,0,20
112,Umum,0,0.25,0,50
113,Gamer,0.58333333333333,0,0,20
114,Gamer,0,0.479166666666665,0,50
115,Umum,0,0.625,0,50
116,Umum,0.16666666666667,0.166666666666665,0,34.9999999999998
117,Umum,0.75,0,0,20
118,Umum,0,0.479166666666665,0,50
119,Umum,0,0,0,20
120,Umum,0,0.270833333333335,0,50
121,Umum,0,0.25,0,50
122,Gamer,0.375,0.0625,0,24.2857142857143
123,Gamer,0,0.583333333333335,0,50
124,Gamer,0,0.791666666666665,0,50
125,Gamer,0,0.25,0,50
126,Umum,0,0.875,0,50
127,Umum,1,0,0,20
128,Umum,0,0.25,0,50
129,Gamer,0.75,0,0,20
130,Umum,1,0,0,20
131,Gamer,0,0.270833333333335,0,50
132,Umum,0,0.479166666666665,0,50
133,Gamer,0,0.5,0,50
134,Umum,0,0.375,0,50
135,Umum,0,0.270833333333335,0,50
136,Gamer,0,0,0,20
137,Umum,0,0.25,0,50
138,Umum,0,0.25,0,50
139,Gamer,0,0.16666666666667,0,50
140,Umum,0.5,0,0,20
141,Umum,1,0,0,20
142,Gamer,0,0,0,20
143,Umum,0,0.75,0,50
144,Umum,0,0.583333333333335,0,50
145,Umum,0,0.16666666666667,0,50
146,Gamer,0,0.875,0,50
147,Umum,0,0.791666666666665,0,50
148,Gamer,0,0,0.5,80
149,Umum,0.79166666666667,0,0,20
150,Umum,0,1,0,50
151,Umum,0.16666666666667,0.166666666666665,0,34.9999999999998
152,Umum,0,0.25,0,50
153,Umum,0,0.875,0,50
154,Umum,0,0.895833333333335,0,50
155,Umum,0,0,0.895833333333335,80
156,Umum,0.79166666666667,0,0,20
157,Umum,0,0.75,0,50
158,Gamer,0,0,1,80
159,Umum,0,0.270833333333335,0,50
160,Umum,0,0.375,0,50
161,Umum,0.79166666666667,0,0,20
162,Gamer,0,0.25,0,50
163,Umum,1,0,0,20
164,Umum,0,0.375,0,50
