NO,Kelompok,R1,R2,R3,R4,R5,R6,R7,R8,R9,mu_Rendah,mu_Sedang,mu_Tinggi
124,Gamer,0,0,0,0,0.791666666666665,0,0,0,0,0,0.791666666666665,0
125,Gamer,0,0,0,0,0.25,0,0,0,0,0,0.25,0
126,Umum,0,0.875,0,0,0,0,0,0,0,0,0.875,0
127,Umum,1,0,0,0,0,0,0,0,0,1,0,0
128,Umum,0,0.25,0,0,0,0,0,0,0,0,0.25,0
129,Gamer,0.75,0,0,0,0,0,0,0,0,0.75,0,0
130,Umum,1,0,0,0,0,0,0,0,0,1,0,0
131,Gamer,0,0,0,0.270833333333335,0,0,0,0,0,0,0.270833333333335,0
132,Umum,0,0,0,0.479166666666665,0,0,0,0,0,0,0.479166666666665,0
133,Gamer,0,0.5,0,0,0,0,0,0,0,0,0.5,0
134,Umum,0,0.375,0,0,0,0,0,0,0,0,0.375,0
135,Umum,0,0,0,0.270833333333335,0,0,0,0,0,0,0.270833333333335,0
136,Gamer,0,0,0,0,0,0,0,0,0,0,0,0
137,Umum,0,0,0,0.25,0.125,0,0,0,0,0,0.25,0
138,Umum,0,0,0,0.25,0.125,0,0,0,0,0,0.25,0
139,Gamer,0,0.16666666666667,0,0,0.166666666666665,0,0,0,0,0,0.16666666666667,0
140,Umum,0.5,0,0,0,0,0,0,0,0,0.5,0,0
141,Umum,1,0,0,0,0,0,0,0,0,1,0,0
142,Gamer,0,0,0,0,0,0,0,0,0,0,0,0
143,Umum,0,0,0,0.75,0,0,0,0,0,0,0.75,0
144,Umum,0,0,0,0,0.583333333333335,0,0,0,0,0,0.583333333333335,0
145,Umum,0,0.16666666666667,0,0,0.166666666666665,0,0,0,0,0,0.16666666666667,0
146,Gamer,0,0,0,0,0.875,0,0,0,0,0,0.875,0
147,Umum,0,0,0,0.791666666666665,0,0,0,0,0,0,0.791666666666665,0
148,Gamer,0,0,0,0,0,0,0,0.5,0,0,0,0.5
149,Umum,0.79166666666667,0,0,0,0,0,0,0,0,0.79166666666667,0,0
150,Umum,0,0,0,0,0,0,1,0,0,0,1,0
151,Umum,0.16666666666667,0,0,0.166666666666665,0,0,0,0,0,0.16666666666667,0.166666666666665,0
152,Umum,0,0,0,0,0.25,0,0,0,0,0,0.25,0
153,Umum,0,0,0,0,0.875,0,0,0,0,0,0.875,0
154,Umum,0,0,0,0,0.895833333333335,0,0,0,0,0,0.895833333333335,0
155,Umum,0,0,0,0,0,0.895833333333335,0,0,0,0,0,0.895833333333335
156,Umum,0.79166666666667,0,0,0,0,0,0,0,0,0.79166666666667,0,0
157,Umum,0,0.75,0,0,0,0,0,0,0,0,0.75,0
158,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
159,Umum,0,0,0,0.270833333333335,0,0,0,0,0,0,0.270833333333335,0
160,Umum,0,0,0,0,0.375,0,0,0,0,0,0.375,0
161,Umum,0.79166666666667,0,0,0,0,0,0,0,0,0.79166666666667,0,0
162,Gamer,0,0,0,0,0.25,0,0,0,0,0,0.25,0
163,Umum,1,0,0,0,0,0,0,0,0,1,0,0
164,Umum,0,0,0,0,0.375,0,0,0,0,0,0.375,0
165,Gamer,0.79166666666667,0,0,0,0,0,0,0,0,0.79166666666667,0,0
166,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
167,Umum,1,0,0,0,0,0,0,0,0,1,0,0
168,Umum,0,0.875,0,0,0,0,0,0,0,0,0.875,0
169,Umum,0,0.25,0,0,0,0,0,0,0,0,0.25,0
170,Umum,0,0,1,0,0,0,0,0,0,0,1,0
171,Gamer,0,0,0.79166666666667,0,0,0,0,0,0,0,0.79166666666667,0
172,Umum,0,0,0,0,0,0,0.79166666666667,0,0,0,0.79166666666667,0
173,Umum,0,0.375,0,0,0.0625,0,0,0,0,0,0.375,0
174,Gamer,0.5,0,0,0,0,0,0,0,0,0.5,0,0
175,Umum,0.58333333333333,0,0,0,0,0,0,0,0,0.58333333333333,0,0
176,Umum,0,0,0,0,0.375,0,0,0,0,0,0.375,0
177,Umum,1,0,0,0,0,0,0,0,0,1,0,0
178,Umum,1,0,0,0,0,0,0,0,0,1,0,0
179,Gamer,0,0,0,0.270833333333335,0,0,0,0,0,0,0.270833333333335,0
180,Umum,0,0.625,0,0,0,0,0,0,0,0,0.625,0
181,Umum,1,0,0,0,0,0,0,0,0,1,0,0
182,Gamer,0,0,0,0.270833333333335,0,0,0,0,0,0,0.270833333333335,0
183,Umum,0,0,0,0,0.479166666666665,0,0,0,0,0,0.479166666666665,0
184,Umum,0.16666666666667,0,0,0.166666666666665,0,0,0,0,0,0.16666666666667,0.166666666666665,0
185,Gamer,0,0.16666666666667,0,0,0.166666666666665,0,0,0,0,0,0.16666666666667,0
186,Gamer,0,0,0,0,0.791666666666665,0,0,0,0,0,0.791666666666665,0
187,Umum,0,0.25,0,0,0,0,0,0,0,0,0.25,0
188,Umum,0,0,0,0,0,0.895833333333335,0,0,0,0,0,0.895833333333335
189,Gamer,0,0,0,0,0.375,0,0,0,0,0,0.375,0
190,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
191,Umum,0,0,0,0,0.5,0,0,0,0,0,0.5,0
192,Gamer,0,0,0,0,0,0,0,0.75,0,0,0,0.75
193,Gamer,0.58333333333333,0,0,0,0,0,0,0,0,0.58333333333333,0,0
194,Gamer,0,0,0,0,0.583333333333335,0,0,0,0,0,0.583333333333335,0
195,Umum,0,0,0,0,0.25,0,0,0,0,0,0.25,0
196,Umum,0,1,0,0,0,0,0,0,0,0,1,0
197,Umum,0.16666666666667,0,0,0.166666666666665,0,0,0,0,0,0.16666666666667,0.166666666666665,0
198,Umum,0,0,0,0,0.479166666666665,0,0,0,0,0,0.479166666666665,0
199,Umum,0,0,0,0,0,0,0,0,0,0,0,0
200,Umum,0,0,0,0,0.583333333333335,0,0,0,0,0,0.583333333333335,0
201,Gamer,0,0,0,0,0,0,0,0,0,0,0,0
202,Umum,1,0,0,0,0,0,0,0,0,1,0,0
203,Umum,0,0,0,0,0.25,0,0,0,0,0,0.25,0
204,Umum,0,0,0,0,0.0625,0.0625,0,0.125,0.25,0,0.0625,0.25
205,Gamer,0,0,0,0.25,0.125,0,0,0,0,0,0.25,0
206,Umum,0,0,0,0,0.479166666666665,0,0,0,0,0,0.479166666666665,0
207,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
208,Umum,0,0,0,0.6875,0,0,0,0,0,0,0.6875,0
209,Gamer,0,0.58333333333333,0,0,0,0,0,0,0,0,0.58333333333333,0
210,Umum,0,0,0,0,0.625,0,0,0,0,0,0.625,0
211,Umum,0,0,0,0,0,0,0,0,0,0,0,0
212,Umum,0.25,0.125,0,0,0,0,0,0,0,0.25,0.125,0
213,Umum,0,0.375,0,0,0,0,0,0,0,0,0.375,0
214,Umum,0,0.75,0,0,0,0,0,0,0,0,0.75,0
215,Umum,0,0,0,0.479166666666665,0,0,0,0,0,0,0.479166666666665,0
216,Umum,0,0,0,0,0.270833333333335,0,0,0,0,0,0.270833333333335,0
217,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
218,Umum,0,0.5,0,0,0,0,0,0,0,0,0.5,0
219,Gamer,0,0,0,0,0.895833333333335,0,0,0,0,0,0.895833333333335,0
220,Gamer,0,0,0,0.895833333333335,0,0,0,0,0,0,0.895833333333335,0
221,Umum,0,0,0,0,0.625,0,0,0,0,0,0.625,0
222,Umum,1,0,0,0,0,0,0,0,0,1,0,0
223,Umum,0,0,0,0,0.125,0.25,0,0,0,0,0.125,0.25
224,Umum,1,0,0,0,0,0,0,0,0,1,0,0
225,Umum,0,0.75,0,0,0,0,0,0,0,0,0.75,0
226,Gamer,0,0,0,0,0,0,0,0,0,0,0,0
227,Gamer,0,0,0,0.5,0,0,0,0,0,0,0.5,0
228,Umum,1,0,0,0,0,0,0,0,0,1,0,0
229,Umum,0,0.25,0,0,0,0,0,0,0,0,0.25,0
230,Umum,0,0,0,0,0,0,0.58333333333333,0,0,0,0.58333333333333,0
231,Umum,0,0,0,0.25,0.125,0,0,0,0,0,0.25,0
232,Umum,0,0,0,0,0.25,0,0,0,0,0,0.25,0
233,Umum,0,0,0,0,0,0,0,0,0,0,0,0
234,Umum,0,0,0,0,0.625,0,0,0,0,0,0.625,0
235,Umum,1,0,0,0,0,0,0,0,0,1,0,0
236,Umum,0,0,0,0,0,0.375,0,0,0,0,0,0.375
237,Umum,0,0,0,0,0,0.5,0,0,0,0,0,0.5
238,Umum,1,0,0,0,0,0,0,0,0,1,0,0
239,Gamer,0.58333333333333,0,0,0,0,0,0,0,0,0.58333333333333,0,0
240,Umum,1,0,0,0,0,0,0,0,0,1,0,0
241,Umum,0,0.25,0,0,0.0625,0,0,0,0,0,0.25,0
242,Gamer,0,0,0,0,0,0,0,0,0,0,0,0
243,Umum,0.25,0.125,0,0,0,0,0,0,0,0.25,0.125,0
244,Umum,0,0,0,0.583333333333335,0,0,0,0,0,0,0.583333333333335,0
245,Umum,0.375,0,0,0.0625,0,0,0,0,0,0.375,0.0625,0
246,Umum,0,0.375,0,0,0.0625,0,0,0,0,0,0.375,0
247,Umum,0,0,0,0,0,0,0,0.25,0,0,0,0.25
248,Gamer,0,0.16666666666667,0,0,0.166666666666665,0,0,0,0,0,0.16666666666667,0
249,Gamer,0,0.16666666666667,0,0,0.166666666666665,0,0,0,0,0,0.16666666666667,0
250,Umum,0,0.25,0,0,0,0,0,0,0,0,0.25,0
251,Umum,1,0,0,0,0,0,0,0,0,1,0,0
252,Gamer,0,0,0,0,0,0.5,0,0,0,0,0,0.5
253,Umum,1,0,0,0,0,0,0,0,0,1,0,0
254,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
255,Gamer,0.16666666666667,0,0,0.166666666666665,0,0,0,0,0,0.16666666666667,0.166666666666665,0
256,Umum,0,0.375,0,0,0.0625,0,0,0,0,0,0.375,0
257,Gamer,0,0,0,0,0.166666666666665,0,0,0.16666666666667,0,0,0.166666666666665,0.16666666666667
258,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
259,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
260,Umum,1,0,0,0,0,0,0,0,0,1,0,0
261,Gamer,0.375,0,0,0.0625,0,0,0,0,0,0.375,0.0625,0
262,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
263,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
264,Umum,0,0,0,0,0,0,0,0,0.58333333333333,0,0,0.58333333333333
265,Gamer,0.58333333333333,0,0,0,0,0,0,0,0,0.58333333333333,0,0
266,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
267,Gamer,0,0,0,0,0,0,0,0,0.58333333333333,0,0,0.58333333333333
268,Gamer,0.375,0,0,0.0625,0,0,0,0,0,0.375,0.0625,0
269,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
270,Umum,0,0,0,0,0,0,0,0,0.79166666666667,0,0,0.79166666666667
271,Umum,0,0,0,0,0,0,0,0,0.5,0,0,0.5
272,Umum,0,0,0,0,0,0,0,0,1,0,0,1
273,Umum,0,0,0,0,0,0,0,0,0.79166666666667,0,0,0.79166666666667
274,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
275,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
276,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
277,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
278,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
279,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
280,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
281,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
282,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
283,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
284,Umum,1,0,0,0,0,0,0,0,0,1,0,0
285,Umum,1,0,0,0,0,0,0,0,0,1,0,0
286,Umum,1,0,0,0,0,0,0,0,0,1,0,0
287,Umum,1,0,0,0,0,0,0,0,0,1,0,0
288,Umum,1,0,0,0,0,0,0,0,0,1,0,0
289,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
290,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
291,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
292,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
293,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
294,Gamer,0,0,0,0.25,0.125,0,0,0,0,0,0.25,0
295,Gamer,0,0,0,0,0.5,0,0,0,0,0,0.5,0
296,Gamer,0,0,0,0,0.6875,0,0,0,0,0,0.6875,0
297,Gamer,0,0,0,0,0,0.375,0,0,0,0,0,0.375
298,Gamer,0,0,0,0,0.25,0,0,0,0,0,0.25,0
299,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
300,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
301,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
302,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
303,Gamer,0,0,0,0,0,0.166666666666665,0,0,0.16666666666667,0,0,0.16666666666667
304,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
305,Gamer,0,0,0,0.583333333333335,0,0,0,0,0,0,0.583333333333335,0
306,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
307,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
308,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
309,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
310,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
311,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
312,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
313,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
314,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
315,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
316,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
317,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
318,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
319,Umum,0,0,0,0,0,0,0,0,1,0,0,1
320,Umum,0,0,0,0,0,0,0,0,1,0,0,1
321,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
322,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
323,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
324,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
325,Gamer,0.25,0.125,0,0,0,0,0,0,0,0.25,0.125,0
326,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
327,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
328,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
329,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
330,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
331,Umum,0,0,0,0,0,0,0,0,1,0,0,1
332,Umum,0,0,0,0,0,0,0,0,1,0,0,1
333,Umum,0,0,0,0,0,0,0,0,1,0,0,1
334,Umum,0,0,0,0,0,0,0,0,1,0,0,1
335,Umum,0,0,0,0,0,0,0,0,1,0,0,1
336,Umum,0,0,0,0,0,0,0,0,1,0,0,1
337,Umum,0,0,0,0,0,0,0,0,1,0,0,1
338,Umum,0,0,0,0,0,0,0,0,1,0,0,1
339,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
340,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
341,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
342,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
343,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
344,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
345,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
346,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
347,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
348,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
349,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
350,Gamer,0,0,0,0,1,0,0,0,0,0,1,0
351,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
352,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
353,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
354,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
355,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
356,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
357,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
358,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
359,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
360,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
361,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
362,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
363,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
364,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
365,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
366,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
367,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
368,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
369,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
370,Umum,0,0,0,0,0,0,0,0,1,0,0,1
371,Umum,0,0,0,0,0,0,0,0,1,0,0,1
372,Umum,0,0,0,0,0,0,0,0,1,0,0,1
373,Umum,0,0,0,0,0,0,0,0,1,0,0,1
374,Umum,0,0,0,0,0,0,0,0,1,0,0,1
375,Umum,0,0,0,0,0,0,0,0,1,0,0,1
376,Umum,0,0,0,0,0,0,0,0,1,0,0,1
377,Umum,0,0,0,0,0,0,0,0,1,0,0,1
378,Umum,0,0,0,0,0,0,0,0,1,0,0,1
379,Umum,1,0,0,0,0,0,0,0,0,1,0,0
380,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
381,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
382,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
383,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
384,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
385,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
386,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
