No,Kelompok,Skor_DS,Skor_FOMO,Skor_DB
260,Umum,18,18,70
261,Gamer,27,22,49
262,Gamer,49,41,101
263,Gamer,51,42,100
264,Umum,46,42,99
265,Gamer,26,20,47
266,Gamer,50,41,99
267,Gamer,46,40,95
268,Gamer,27,19,47
269,Gamer,49,40,101
270,Umum,47,43,97
271,Umum,47,38,97
272,Umum,50,41,96
273,Umum,47,43,96
274,Gamer,52,42,105
275,Gamer,54,44,107
276,Gamer,53,43,106
277,Gamer,54,41,104
278,Gamer,51,43,106
279,Gamer,54,43,107
280,Gamer,21,16,38
281,Gamer,21,15,40
282,Gamer,53,44,105
283,Gamer,20,17,39
284,Umum,23,17,42
285,Umum,21,17,44
286,Umum,21,18,41
287,Umum,22,17,41
288,Umum,23,20,40
289,Gamer,52,42,100
290,Gamer,22,18,42
291,Gamer,21,18,39
292,Gamer,50,44,101
293,Gamer,51,42,102
294,Gamer,37,23,84
295,Gamer,32,26,99
296,Gamer,39,31,84
297,Gamer,42,43,92
298,Gamer,39,36,83
299,Gamer,19,15,35
300,Gamer,54,45,103
301,Gamer,55,44,103
302,Gamer,53,46,102
303,Gamer,44,43,105
304,Gamer,53,45,103
305,Gamer,32,19,101
306,Gamer,51,43,103
307,Gamer,52,43,101
308,Gamer,52,44,103
309,Gamer,22,16,42
310,Gamer,54,44,103
311,Gamer,51,44,103
312,Gamer,51,44,105
313,Gamer,49,43,102
314,Gamer,52,44,107
315,Gamer,53,43,105
316,Gamer,53,44,106
317,Gamer,53,44,106
318,Gamer,52,43,106
319,Umum,52,44,105
320,Umum,52,43,108
321,Gamer,53,43,104
322,Gamer,55,43,101
323,Gamer,54,46,102
324,Gamer,22,19,58
325,Gamer,21,23,54
326,Gamer,53,44,101
327,Gamer,52,43,104
328,Gamer,53,43,106
329,Gamer,22,17,40
330,Gamer,54,45,99
331,Umum,53,43,105
332,Umum,53,44,107
333,Umum,53,43,105
334,Umum,50,42,96
335,Umum,50,41,88
336,Umum,50,43,97
337,Umum,50,43,103
338,Umum,48,42,89
339,Gamer,18,15,36
340,Gamer,54,45,108
341,Gamer,54,46,106
342,Gamer,54,45,108
343,Gamer,51,44,104
344,Gamer,53,45,107
345,Gamer,53,44,106
346,Gamer,51,44,107
347,Gamer,51,43,106
348,Gamer,51,44,107
349,Gamer,52,45,108
350,Gamer,36,30,72
351,Gamer,54,45,108
352,Gamer,54,45,108
353,Gamer,54,45,108
354,Gamer,53,43,106
355,Gamer,54,45,108
356,Gamer,52,44,108
357,Gamer,18,15,36
358,Gamer,54,45,108
359,Gamer,53,45,109
360,Gamer,51,45,106
361,Gamer,54,45,108
362,Gamer,18,15,35
363,Gamer,54,43,108
364,Gamer,54,45,107
365,Gamer,54,45,108
366,Gamer,21,14,35
367,Gamer,54,45,108
368,Gamer,54,45,108
369,Gamer,55,45,106
370,Umum,49,44,106
371,Umum,52,41,103
372,Umum,49,41,104
373,Umum,53,40,106
374,Umum,52,41,105
375,Umum,52,44,101
376,Umum,53,44,109
377,Umum,52,44,104
378,Umum,51,44,108
379,Umum,22,17,40
380,Gamer,50,45,108
381,Gamer,53,46,108
382,Gamer,52,45,108
383,Gamer,24,17,40
384,Gamer,52,45,110
385,Gamer,52,45,108
386,Gamer,50,45,108
387,Gamer,19,16,57
388,Gamer,27,14,88
389,Gamer,52,43,53
390,Gamer,50,15,35
391,Gamer,21,17,56
392,Gamer,52,45,108
