NO,Kelompok,mu_Rendah,mu_Sedang,mu_Tinggi,z_star,Kategori_Klasifikasi
1,Umum,0.25,0.125,0,30,Rendah
2,Umum,0,0.5,0,50,Sedang
3,Umum,0,0.25,0,50,Sedang
4,Umum,0,0.583333333333335,0,50,Sedang
5,Umum,0,0.0625,0.375,75.7142857142857,Tinggi
6,Umum,0,0.5,0,50,Sedang
7,Umum,0,0.25,0,50,Sedang
8,Umum,1,0,0,20,Rendah
9,Umum,0,0.375,0,50,Sedang
10,Umum,1,0,0,20,Rendah
11,Umum,0,0.6875,0,50,Sedang
12,Umum,0,0.270833333333335,0,50,Sedang
13,Umum,1,0,0,20,Rendah
14,Umum,0.25,0.125,0,30,Rendah
15,Umum,0,0.270833333333335,0,50,Sedang
16,Umum,0,0.375,0,50,Sedang
17,Umum,0,0.791666666666665,0,50,Sedang
18,Umum,0,0.375,0,50,Sedang
19,Umum,0,0.75,0,50,Sedang
20,Umum,0,0.166666666666665,0.16666666666667,65.0000000000002,Tinggi
21,Umum,0,0.16666666666667,0,50,Sedang
22,Umum,0,0.6875,0,50,Sedang
23,Umum,0,0.625,0,50,Sedang
24,Umum,0.58333333333333,0,0,20,Rendah
25,Umum,1,0,0,20,Rendah
26,Umum,0,0.479166666666665,0,50,Sedang
27,Umum,0,0.25,0,50,Sedang
28,Umum,1,0,0,20,Rendah
29,Umum,0,0.875,0,50,Sedang
30,Gamer,0,0.0625,0.375,75.7142857142857,Tinggi
31,Umum,0,0.6875,0,50,Sedang
32,Gamer,0,0.375,0,50,Sedang
33,Umum,0,0.75,0,50,Sedang
34,Umum,1,0,0,20,Rendah
35,Umum,0,0.5,0,50,Sedang
36,Umum,0,0,0,20,Rendah
37,Umum,0.16666666666667,0.166666666666665,0,34.9999999999998,Rendah
38,Umum,1,0,0,20,Rendah
39,Umum,0,0,0,20,Rendah
40,Umum,0,0.25,0,50,Sedang
41,Umum,0,0,0,20,Rendah
42,Umum,1,0,0,20,Rendah
43,Umum,0,0.791666666666665,0,50,Sedang
44,Umum,1,0,0,20,Rendah
45,Umum,0,0.791666666666665,0,50,Sedang
46,Umum,0,0,0,20,Rendah
47,Umum,0,0.5,0,50,Sedang
48,Umum,0,0,0,20,Rendah
49,Umum,0,0.479166666666665,0,50,Sedang
50,Umum,0.58333333333333,0,0,20,Rendah
51,Umum,0,1,0,50,Sedang
52,Umum,0,0.25,0,50,Sedang
53,Umum,0,0.75,0,50,Sedang
54,Umum,0,0.58333333333333,0,50,Sedang
55,Umum,0,0.270833333333335,0,50,Sedang
56,Umum,0,0.5,0,50,Sedang
57,Umum,1,0,0,20,Rendah
58,Umum,1,0,0,20,Rendah
59,Umum,0.75,0,0,20,Rendah
60,Umum,0,0.75,0,50,Sedang
61,Umum,0,0.270833333333335,0,50,Sedang
62,Umum,0,0.479166666666665,0,50,Sedang
63,Umum,0.5,0,0,20,Rendah
64,Umum,0,0.5,0,50,Sedang
65,Umum,0,0.625,0,50,Sedang
66,Umum,0,0.75,0,50,Sedang
67,Umum,0,0.895833333333335,0,50,Sedang
68,Umum,0,0.625,0,50,Sedang
69,Umum,1,0,0,20,Rendah
70,Umum,0,0.5,0,50,Sedang
71,Umum,1,0,0,20,Rendah
72,Umum,0.5,0,0,20,Rendah
73,Umum,0,0.75,0,50,Sedang
74,Umum,0.79166666666667,0,0,20,Rendah
75,Umum,0,0,0.5,80,Tinggi
76,Umum,0.375,0.0625,0,24.2857142857143,Rendah
77,Umum,0,0,0,20,Rendah
78,Umum,0,0.375,0,50,Sedang
79,Umum,1,0,0,20,Rendah
80,Umum,0,0,0.5,80,Tinggi
81,Umum,0,0.16666666666667,0,50,Sedang
82,Umum,1,0,0,20,Rendah
83,Umum,0.5,0,0,20,Rendah
84,Umum,0,0.375,0,50,Sedang
85,Umum,0,0.375,0,50,Sedang
86,Umum,0,0,0.791666666666665,80,Tinggi
87,Umum,0,0.79166666666667,0,50,Sedang
88,Umum,0.375,0.0625,0,24.2857142857143,Rendah
89,Umum,0,0.583333333333335,0,50,Sedang
90,Umum,0,0.270833333333335,0,50,Sedang
91,Umum,0,0,0,20,Rendah
92,Umum,0,0.375,0,50,Sedang
93,Umum,0,0.6875,0,50,Sedang
94,Umum,0,0.25,0,50,Sedang
95,Umum,0,0.625,0,50,Sedang
96,Gamer,0.375,0.0625,0,24.2857142857143,Rendah
97,Gamer,0,0.25,0,50,Sedang
98,Umum,0,0.25,0,50,Sedang
99,Umum,0,0.375,0,50,Sedang
100,Umum,1,0,0,20,Rendah
101,Umum,0,0.25,0,50,Sedang
102,Umum,0,0,0,20,Rendah
103,Umum,0.16666666666667,0.166666666666665,0,34.9999999999998,Rendah
104,Umum,1,0,0,20,Rendah
105,Umum,0.79166666666667,0,0,20,Rendah
106,Umum,0,0.25,0,50,Sedang
107,Umum,1,0,0,20,Rendah
108,Umum,0.58333333333333,0,0,20,Rendah
109,Umum,0,0.5,0,50,Sedang
110,Gamer,0,0.270833333333335,0,50,Sedang
111,Umum,1,0,0,20,Rendah
112,Umum,0,0.25,0,50,Sedang
113,Gamer,0.58333333333333,0,0,20,Rendah
114,Gamer,0,0.479166666666665,0,50,Sedang
115,Umum,0,0.625,0,50,Sedang
116,Umum,0.16666666666667,0.166666666666665,0,34.9999999999998,Rendah
117,Umum,0.75,0,0,20,Rendah
118,Umum,0,0.479166666666665,0,50,Sedang
119,Umum,0,0,0,20,Rendah
120,Umum,0,0.270833333333335,0,50,Sedang
121,Umum,0,0.25,0,50,Sedang
122,Gamer,0.375,0.0625,0,24.2857142857143,Rendah
123,Gamer,0,0.583333333333335,0,50,Sedang
124,Gamer,0,0.791666666666665,0,50,Sedang
125,Gamer,0,0.25,0,50,Sedang
126,Umum,0,0.875,0,50,Sedang
127,Umum,1,0,0,20,Rendah
128,Umum,0,0.25,0,50,Sedang
129,Gamer,0.75,0,0,20,Rendah
130,Umum,1,0,0,20,Rendah
131,Gamer,0,0.270833333333335,0,50,Sedang
132,Umum,0,0.479166666666665,0,50,Sedang
133,Gamer,0,0.5,0,50,Sedang
134,Umum,0,0.375,0,50,Sedang
135,Umum,0,0.270833333333335,0,50,Sedang
136,Gamer,0,0,0,20,Rendah
137,Umum,0,0.25,0,50,Sedang
138,Umum,0,0.25,0,50,Sedang
139,Gamer,0,0.16666666666667,0,50,Sedang
140,Umum,0.5,0,0,20,Rendah
141,Umum,1,0,0,20,Rendah
142,Gamer,0,0,0,20,Rendah
143,Umum,0,0.75,0,50,Sedang
144,Umum,0,0.583333333333335,0,50,Sedang
145,Umum,0,0.16666666666667,0,50,Sedang
146,Gamer,0,0.875,0,50,Sedang
147,Umum,0,0.791666666666665,0,50,Sedang
148,Gamer,0,0,0.5,80,Tinggi
149,Umum,0.79166666666667,0,0,20,Rendah
150,Umum,0,1,0,50,Sedang
151,Umum,0.16666666666667,0.166666666666665,0,34.9999999999998,Rendah
152,Umum,0,0.25,0,50,Sedang
153,Umum,0,0.875,0,50,Sedang
154,Umum,0,0.895833333333335,0,50,Sedang
155,Umum,0,0,0.895833333333335,80,Tinggi
156,Umum,0.79166666666667,0,0,20,Rendah
157,Umum,0,0.75,0,50,Sedang
158,Gamer,0,0,1,80,Tinggi
159,Umum,0,0.270833333333335,0,50,Sedang
160,Umum,0,0.375,0,50,Sedang
161,Umum,0.79166666666667,0,0,20,Rendah
162,Gamer,0,0.25,0,50,Sedang
163,Umum,1,0,0,20,Rendah
164,Umum,0,0.375,0,50,Sedang
165,Gamer,0.79166666666667,0,0,20,Rendah
166,Gamer,1,0,0,20,Rendah
167,Umum,1,0,0,20,Rendah
168,Umum,0,0.875,0,50,Sedang
169,Umum,0,0.25,0,50,Sedang
170,Umum,0,1,0,50,Sedang
171,Gamer,0,0.79166666666667,0,50,Sedang
172,Umum,0,0.79166666666667,0,50,Sedang
173,Umum,0,0.375,0,50,Sedang
174,Gamer,0.5,0,0,20,Rendah
175,Umum,0.58333333333333,0,0,20,Rendah
176,Umum,0,0.375,0,50,Sedang
177,Umum,1,0,0,20,Rendah
178,Umum,1,0,0,20,Rendah
179,Gamer,0,0.270833333333335,0,50,Sedang
180,Umum,0,0.625,0,50,Sedang
181,Umum,1,0,0,20,Rendah
182,Gamer,0,0.270833333333335,0,50,Sedang
183,Umum,0,0.479166666666665,0,50,Sedang
184,Umum,0.16666666666667,0.166666666666665,0,34.9999999999998,Rendah
185,Gamer,0,0.16666666666667,0,50,Sedang
186,Gamer,0,0.791666666666665,0,50,Sedang
187,Umum,0,0.25,0,50,Sedang
188,Umum,0,0,0.895833333333335,80,Tinggi
189,Gamer,0,0.375,0,50,Sedang
190,Gamer,1,0,0,20,Rendah
